,Top_positvely_correlated,Top_negatively_correlated
PINK1,"['SLC26A3', 'FCGBP', 'DES', 'PIGR', 'TAGLN', 'TSPAN1', 'VIM', 'MUC2', 'SELENOP', 'CA2', 'KRT20', 'CALD1', 'TPM1', 'MYH11', 'A2M', 'MYLK', 'MYL9', 'GUCA2A', 'RGS5', 'IGFBP7', 'AQP1', 'COL4A1', 'ZG16', 'PLVAP', 'ACTG2', 'SYNM', 'CSRP1', 'ENG', 'COL4A2', 'HSPG2']","['G0S2', 'IL1B', 'SPP1', 'IL1RN', 'BCL2A1', 'PLEK', 'SOD2', 'TREM1', 'CCL4L2', 'HCAR3', 'SACS', 'TAGAP', 'HBA2', 'OSM', 'CSF3R', 'TPST1', 'PTGS2', 'FOLR2', 'GFPT2', 'HBB', 'TNFRSF1B', 'CCL3', 'IL1A', 'S100A9', 'OLR1', 'PDE4B', 'ADGRG3', 'MEFV', 'ADAMTSL3', 'ARRB2']"
HSPG2,"['COL4A1', 'VIM', 'VWF', 'ENG', 'PECAM1', 'PLVAP', 'AQP1', 'IGFBP7', 'COL4A2', 'SPARC', 'A2M', 'ADGRL4', 'COL3A1', 'EGFL7', 'CALCRL', 'MCAM', 'COL1A1', 'COL15A1', 'SPARCL1', 'COL1A2', 'PLXND1', 'SLCO2A1', 'RGS5', 'COL6A2', 'CDH5', 'CD93', 'CD34', 'TAGLN', 'LGALS1', 'ESAM']","['LCN2', 'PI3', 'PIGR', 'CKB', 'AGR2', 'TSPAN1', 'FCGBP', 'MUC2', 'CEACAM7', 'SLC26A3', 'KRT20', 'CLCA1', 'SOD2', 'OLFM4', 'SPINK4', 'DUOX2', 'MS4A12', 'ZG16', 'MT1X', 'CXCL8', 'TFF3', 'PLAC8', 'DMBT1', 'JCHAIN', 'MT1F', 'REG4', 'ITLN1', 'MT1G', 'GUCA2A', 'IL1RN']"
CELA3B,"['SEMA3E', 'KRT24', 'PDZRN3', 'PIP5K1C', 'CHI3L1', 'GLIPR1', 'SOX18', 'GNAO1', 'FAM114A2', 'MGAT1', 'RAB8B', 'TNXB', 'RHOJ', 'CA2', 'STX12', 'RARA', 'ABLIM3', 'PCDHB1', 'KANK2', 'MDFIC', 'NTN1', 'PCP4', 'ITGBL1', 'PRIMA1', 'NCF2', 'TMTC1', 'SERPINE1', 'CALCRL', 'SEC24D', 'MMP9']","['LCN2', 'RAB13', 'PJA2', 'EHBP1L1', 'THBS1', 'AHNAK', 'COL4A1', 'LPP', 'ARHGDIB', 'ADD1', 'ITGB5', 'CKB', 'FBLN1', 'TPM4', 'MMP12', 'MYLK', 'CCN2', 'SRGN', 'BGN', 'PECAM1', 'S100A9', 'SERPINB6', 'CXCL14', 'PCM1', 'COL5A2', 'TAB2', 'ELK4', 'SOCS3', 'FHL2', 'GSN']"
CELA3A,"['NSG2', 'NNAT', 'CHN1', 'HBB', 'WNT2B', 'CCDC136', 'TNFAIP8L3', 'NFATC4', 'ABLIM3', 'GALNT10', 'FAM20C', 'UTY', 'GPX3', 'ROR2', 'CORO1A', 'NAGK', 'ACTA2', 'GIMAP7', 'PCNX1', 'VSIR', 'ZNF423', 'CCL2', 'LIPA', 'SFRP2', 'NRXN3', 'VWA1', 'CCDC92', 'ACTC1', 'IFI44L', 'CFD']","['A2M', 'SOD2', 'IGFBP7', 'CKB', 'C12orf57', 'MMP14', 'DCN', 'TIMP1', 'SLMAP', 'LCN2', 'BST2', 'ETS1', 'STK38L', 'CAPN2', 'MMP12', 'MAP4K4', 'MSN', 'COTL1', 'GUK1', 'FBN1', 'FN1', 'C4orf3', 'C1orf198', 'LOXL2', 'ERBIN', 'ELK4', 'UGCG', 'COL6A1', 'SGK1', 'PCM1']"
C1QA,"['CD74', 'C1QC', 'C1QB', 'CTSB', 'LYZ', 'IFI30', 'PSAP', 'MMP12', 'MS4A6A', 'CD68', 'APOE', 'CD14', 'SRGN', 'FCER1G', 'MPEG1', 'CSF1R', 'CD4', 'STAB1', 'AIF1', 'LAPTM5', 'TYROBP', 'CD163', 'CTSC', 'VIM', 'SLCO2B1', 'CYBB', 'SELENOP', 'MS4A7', 'PLTP', 'SPI1']","['LCN2', 'PIGR', 'PI3', 'CKB', 'AGR2', 'FCGBP', 'TSPAN1', 'CLCA1', 'MUC2', 'OLFM4', 'SPINK4', 'KRT20', 'CEACAM7', 'SLC26A3', 'TFF3', 'DMBT1', 'DUOX2', 'ITLN1', 'ZG16', 'MS4A12', 'CA2', 'REG4', 'KLF4', 'PCP4', 'MT1G', 'PLA2G2A', 'PLAC8', 'SORBS2', 'CA4', 'NFIX']"
C1QC,"['CD74', 'C1QB', 'C1QA', 'CTSB', 'IFI30', 'LYZ', 'MMP12', 'PSAP', 'MS4A6A', 'CD68', 'APOE', 'SRGN', 'CD14', 'FCER1G', 'CD4', 'CSF1R', 'MPEG1', 'STAB1', 'TYROBP', 'LAPTM5', 'AIF1', 'CTSC', 'VIM', 'CD163', 'SLCO2B1', 'MS4A7', 'SELENOP', 'CYBB', 'SPI1', 'RGS1']","['LCN2', 'PIGR', 'PI3', 'CKB', 'AGR2', 'FCGBP', 'TSPAN1', 'CLCA1', 'MUC2', 'OLFM4', 'SPINK4', 'CEACAM7', 'KRT20', 'TFF3', 'SLC26A3', 'DMBT1', 'ZG16', 'DUOX2', 'MS4A12', 'PCP4', 'CA2', 'REG4', 'KLF4', 'PLA2G2A', 'SORBS2', 'ITLN1', 'PGM5', 'MT1G', 'PLAC8', 'MT1F']"
C1QB,"['CD74', 'C1QC', 'C1QA', 'CTSB', 'IFI30', 'LYZ', 'PSAP', 'APOE', 'MMP12', 'MS4A6A', 'CD68', 'SRGN', 'CD14', 'FCER1G', 'CD4', 'CSF1R', 'LAPTM5', 'MPEG1', 'TYROBP', 'AIF1', 'STAB1', 'CTSC', 'VIM', 'SLCO2B1', 'CYBB', 'CD163', 'SELENOP', 'SPI1', 'MS4A7', 'RGS1']","['LCN2', 'PIGR', 'PI3', 'CKB', 'AGR2', 'FCGBP', 'TSPAN1', 'MUC2', 'CLCA1', 'OLFM4', 'CEACAM7', 'TFF3', 'SPINK4', 'KRT20', 'SLC26A3', 'DUOX2', 'DMBT1', 'ZG16', 'PLA2G2A', 'CA2', 'PCP4', 'ITLN1', 'MS4A12', 'REG4', 'MT1G', 'KLF4', 'CA4', 'PLAC8', 'NFIX', 'SORBS2']"
ZNF436,"['COL3A1', 'COL1A2', 'COL1A1', 'SPARC', 'LUM', 'VIM', 'COL5A1', 'MMP2', 'VCAN', 'IGFBP7', 'COL6A3', 'COL6A2', 'AEBP1', 'COL4A1', 'TIMP3', 'THBS2', 'COL5A2', 'C1S', 'DCN', 'LGALS1', 'SFRP4', 'CCN2', 'COL6A1', 'FN1', 'CDH11', 'TIMP1', 'FSTL1', 'COMP', 'COL12A1', 'IGFBP3']","['LCN2', 'CXCL8', 'PI3', 'HBA2', 'CKB', 'IL1B', 'IL1RN', 'PLAC8', 'OSM', 'DUOX2', 'PIGR', 'HBB', 'PLAUR', 'BCL2A1', 'SOD2', 'AGR2', 'G0S2', 'SERPINA1', 'SPINK4', 'MT1X', 'SORBS2', 'SCN7A', 'MEP1A', 'IGHA1', 'MS4A12', 'KRT20', 'S100A8', 'REG1A', 'MT1G', 'FFAR2']"
ID3,"['VIM', 'COL4A1', 'IGFBP7', 'A2M', 'ENG', 'COL3A1', 'COL4A2', 'SPARC', 'COL1A1', 'RGS5', 'NOTCH3', 'PLVAP', 'VWF', 'F3', 'AQP1', 'COL1A2', 'PECAM1', 'LGALS1', 'COL6A2', 'MCAM', 'COL5A1', 'COL18A1', 'EPAS1', 'LOXL2', 'PDGFRB', 'NID1', 'C11orf96', 'CCN2', 'PLXND1', 'ADGRL4']","['PCP4', 'MYH11', 'OLFM4', 'SYNM', 'SORBS2', 'REG1A', 'PGM5', 'LCN2', 'SLMAP', 'NFIX', 'G0S2', 'FABP1', 'SPP1', 'SYNPO2', 'PLTP', 'SOD2', 'REG1B', 'IL1RN', 'SORBS1', 'KIZ', 'PSD', 'FAM83D', 'PRUNE2', 'SYDE2', 'OSM', 'TACR2', 'DMBT1', 'PLIN4', 'HBB', 'PI3']"
CLIC4,"['TAGLN', 'SPARC', 'COL3A1', 'VIM', 'COL1A1', 'MYL9', 'COL1A2', 'CALD1', 'LGALS1', 'IGFBP7', 'ACTA2', 'ACTG2', 'COL6A2', 'COL4A1', 'CSRP1', 'TPM2', 'DES', 'TPM1', 'MYH11', 'MMP2', 'MYLK', 'COL5A1', 'A2M', 'TNC', 'TIMP2', 'FLNA', 'COL4A2', 'LUM', 'CNN1', 'AEBP1']","['LCN2', 'PIGR', 'PI3', 'AGR2', 'FCGBP', 'TSPAN1', 'OLFM4', 'MUC2', 'CLCA1', 'CEACAM7', 'SPINK4', 'SLC26A3', 'TFF3', 'DUOX2', 'KRT20', 'DMBT1', 'CKB', 'MS4A12', 'REG4', 'PLAC8', 'CA2', 'ITLN1', 'ZG16', 'MT1X', 'MT1F', 'MT1G', 'REG1A', 'GUCA2A', 'CLCA4', 'KLF4']"
MTFR1L,"['TAGLN', 'CGA', 'COL3A1', 'MYL9', 'VIM', 'TNC', 'CSRP1', 'COL6A2', 'COL5A1', 'TPM1', 'COL1A2', 'COL1A1', 'COL6A1', 'OLFM4', 'SPARC', 'CNN1', 'FN1', 'C1S', 'CLCA1', 'A2M', 'PIGR', 'AGR2', 'LGALS1', 'MYLK', 'SPARCL1', 'MMP2', 'FLNA', 'AEBP1', 'CALD1', 'SGCB']","['HBB', 'PI3', 'CXCL8', 'G0S2', 'FABP1', 'PLAUR', 'BCL2A1', 'IL1B', 'CLCA4', 'TAGAP', 'S100A9', 'S100A8', 'AQP9', 'SLA', 'PLEK', 'NAMPT', 'MXD1', 'PROK2', 'ZFP36', 'LYVE1', 'IGHG1', 'CCL4', 'IGKC', 'CCL14', 'MORN5', 'IL1RN', 'STEAP4', 'GUCA2A', 'CCL4L2', 'MEOX2']"
EXTL1,"['FERMT2', 'AFAP1', 'TMEM59L', 'PEG3', 'NKAIN3', 'TMOD1', 'VIPR2', 'BIN2', 'THBS4', 'MS4A4A', 'DNAJB4', 'CLU', 'DOCK11', 'MEOX2', 'SETD7', 'MS4A7', 'CADM2', 'DMD', 'COL11A1', 'EFEMP1', 'EMILIN2', 'SELL', 'JDP2', 'PURA', 'TAGAP', 'IGF1', 'VGLL3', 'COTL1', 'CHST3', 'ACKR1']","['ACTG2', 'PI3', 'LCN2', 'RHOB', 'SRGN', 'AGR2', 'LAMC1', 'ARHGEF1', 'BMPR2', 'ARRDC3', 'MYOF', 'SOD2', 'PIGR', 'SOCS3', 'BGN', 'SELENOP', 'CTDSP1', 'S100A13', 'COL18A1', 'PPFIBP1', 'MMP12', 'SLMAP', 'TGM2', 'SLAIN2', 'SORBS1', 'STAT5B', 'NNMT', 'VAT1', 'KLF4', 'FNBP1']"
CD52,"['TRAC', 'TRBC2', 'VIM', 'LYZ', 'CD74', 'CCL5', 'LCP1', 'APOE', 'LSP1', 'CD2', 'IFI30', 'SPP1', 'SRGN', 'LAPTM5', 'IKZF1', 'TRBC1', 'GZMA', 'WIPF1', 'CORO1A', 'ARHGDIB', 'GNLY', 'CTSB', 'EVL', 'S100A4', 'MYO1G', 'STK17B', 'CHI3L1', 'PSAP', 'TYROBP', 'RGS1']","['LCN2', 'PIGR', 'PI3', 'CKB', 'FCGBP', 'AGR2', 'CLCA1', 'TSPAN1', 'MUC2', 'OLFM4', 'PCP4', 'CEACAM7', 'SPINK4', 'PLA2G2A', 'KRT20', 'TFF3', 'SLC26A3', 'ITLN1', 'SORBS2', 'ZG16', 'DUOX2', 'DMBT1', 'CA2', 'MS4A12', 'REG4', 'PGM5', 'LPP', 'MT1G', 'KLF4', 'MT1X']"
FGR,"['LYZ', 'S100A9', 'SRGN', 'S100A8', 'IFI30', 'SPI1', 'MMP12', 'SPP1', 'CXCL8', 'CD74', 'TYROBP', 'VIM', 'ITGAX', 'LCP1', 'IL1B', 'IL1RN', 'FCER1G', 'APOE', 'LAPTM5', 'CTSB', 'PLEK', 'ITGB2', 'MMP9', 'CD68', 'PSAP', 'CSF3R', 'BCL2A1', 'NCF2', 'G0S2', 'CHI3L1']","['PIGR', 'LCN2', 'DES', 'FCGBP', 'AGR2', 'MUC2', 'TSPAN1', 'CKB', 'PLA2G2A', 'CLCA1', 'MYH11', 'TPM1', 'ACTG2', 'PPP1R12B', 'SPINK4', 'SORBS2', 'MYL9', 'OLFM4', 'SFRP4', 'SYNPO2', 'TFF3', 'PCP4', 'SORBS1', 'TPM2', 'SLC26A3', 'CNN1', 'ALDH1B1', 'MS4A12', 'NFIX', 'LPP']"
IFI6,"['CXCL10', 'ISG15', 'IFIT1', 'MX1', 'IFIT3', 'SPP1', 'VIM', 'OAS2', 'CTSB', 'SPARC', 'COL1A1', 'IFI44L', 'APOE', 'COL3A1', 'COL1A2', 'BST2', 'PSAP', 'IFI44', 'CD74', 'IFIT2', 'LUM', 'PI3', 'IFI30', 'LGALS1', 'MMP2', 'SRGN', 'EPSTI1', 'CD68', 'IGFBP7', 'TIMP1']","['FCGBP', 'AGR2', 'DES', 'CA2', 'FABP1', 'MUC2', 'PLA2G2A', 'ZG16', 'KRT20', 'TFF3', 'MYH11', 'TSPAN1', 'CLCA1', 'SELENOP', 'CA4', 'SYNM', 'CA1', 'MT1G', 'SORBS2', 'GUCA2A', 'SYNPO2', 'REG4', 'SPINK4', 'MT1X', 'MT1F', 'MS4A12', 'PPP1R12B', 'SLC26A3', 'MT1H', 'PCP4']"
STX12,"['VIM', 'SPARC', 'COL3A1', 'COL1A1', 'LGALS1', 'IGFBP7', 'COL4A1', 'A2M', 'CD74', 'TAGLN', 'COL1A2', 'CTSB', 'ACTA2', 'COL5A1', 'COL6A2', 'ENG', 'PSAP', 'CALD1', 'TPM1', 'MMP2', 'COL4A2', 'TIMP2', 'CCN2', 'MCAM', 'SERPINB3', 'FN1', 'PECAM1', 'VCAN', 'CCN1', 'C1QC']","['FABP1', 'PCP4', 'HBB', 'IGHG1', 'CXCL8', 'G0S2', 'IGHM', 'IGKC', 'OSM', 'SORBS2', 'NOVA1', 'ARMC4', 'RARRES1', 'AOX1', 'KCNJ15', 'NTSR1', 'PLIN4', 'ZNF483', 'CCL3L1', 'CHRM2', 'ITIH3', 'MZB1', 'CNGA3', 'ADCYAP1R1', 'HBD', 'CLPS', 'SCN1A', 'SPINK7', 'KCNK3', 'PRG4']"
THEMIS2,"['CD74', 'LYZ', 'SRGN', 'IFI30', 'CTSB', 'C1QC', 'MMP12', 'C1QB', 'C1QA', 'PSAP', 'SPI1', 'RGS1', 'VIM', 'STAB1', 'MPEG1', 'CSF1R', 'CD14', 'FCER1G', 'LAPTM5', 'MS4A6A', 'TYROBP', 'CD68', 'LCP1', 'AIF1', 'CYBB', 'TYMP', 'IGKC', 'FGL2', 'APOE', 'MS4A7']","['LCN2', 'PIGR', 'AGR2', 'FCGBP', 'CKB', 'TSPAN1', 'PI3', 'CLCA1', 'PCP4', 'MUC2', 'SORBS2', 'SLC26A3', 'CEACAM7', 'SPINK4', 'TFF3', 'OLFM4', 'DUOX2', 'MS4A12', 'KRT20', 'DMBT1', 'ITLN1', 'PLA2G2A', 'ZG16', 'NFIX', 'CA2', 'ALDH1B1', 'SORBS1', 'PRUNE2', 'RAB23', 'MT1G']"
PTAFR,"['MMP12', 'CD74', 'LYZ', 'IFI30', 'SRGN', 'CTSB', 'C1QC', 'VIM', 'C1QB', 'PSAP', 'SPI1', 'FCER1G', 'MMP9', 'LAPTM5', 'TYROBP', 'APOE', 'C1QA', 'CD68', 'CD14', 'AIF1', 'S100A9', 'CYBB', 'MS4A6A', 'CSF1R', 'TYMP', 'CD4', 'LCP1', 'CTSC', 'CTSL', 'ITGAX']","['PIGR', 'LCN2', 'CKB', 'FCGBP', 'AGR2', 'MUC2', 'TSPAN1', 'CLCA1', 'SLC26A3', 'PLA2G2A', 'SPINK4', 'PCP4', 'OLFM4', 'CEACAM7', 'CA2', 'TFF3', 'DES', 'MYH11', 'KRT20', 'PI3', 'ITLN1', 'MS4A12', 'NFIX', 'PPP1R12B', 'SORBS2', 'MT1G', 'SLMAP', 'SORBS1', 'SEMA3C', 'RAB23']"
TMEM200B,"['TAGLN', 'MYL9', 'DES', 'COL3A1', 'ACTG2', 'ACTA2', 'CSRP1', 'MYH11', 'TPM2', 'CALD1', 'MYLK', 'A2M', 'COL1A2', 'COL1A1', 'FLNA', 'COL6A2', 'C1S', 'TPM1', 'TNC', 'GREM1', 'COL6A3', 'CHRDL2', 'SPARCL1', 'SPARC', 'LGALS1', 'C1R', 'SYNPO2', 'COL5A1', 'PPP1R12B', 'CNN1']","['LCN2', 'PI3', 'PIGR', 'TSPAN1', 'FCGBP', 'AGR2', 'MUC2', 'CLCA1', 'CEACAM7', 'SELENOP', 'KRT20', 'OLFM4', 'SPINK4', 'DUOX2', 'SLC26A3', 'TFF3', 'DMBT1', 'PLAC8', 'KLF4', 'MS4A12', 'ZG16', 'MT1X', 'REG4', 'S100A9', 'GUCA2A', 'MT1F', 'PLAUR', 'CA2', 'APOBR', 'MT1G']"
LAPTM5,"['CD74', 'LYZ', 'IFI30', 'CTSB', 'SRGN', 'C1QC', 'APOE', 'MMP12', 'C1QB', 'PSAP', 'VIM', 'C1QA', 'CD68', 'SPP1', 'FCER1G', 'TYROBP', 'CD4', 'LCP1', 'MS4A6A', 'SPI1', 'MMP9', 'CD14', 'AIF1', 'MPEG1', 'RGS1', 'CSF1R', 'CTSD', 'CYBB', 'CTSC', 'ITGB2']","['LCN2', 'PIGR', 'FCGBP', 'AGR2', 'PI3', 'CKB', 'MUC2', 'CLCA1', 'TSPAN1', 'OLFM4', 'SPINK4', 'PLA2G2A', 'KRT20', 'TFF3', 'CEACAM7', 'SLC26A3', 'PCP4', 'ZG16', 'SORBS2', 'DUOX2', 'ITLN1', 'REG4', 'DMBT1', 'MS4A12', 'CA2', 'MT1G', 'PGM5', 'KLF4', 'MT1X', 'PPP1R12B']"
SDC3,"['TAGLN', 'CD74', 'C1QC', 'COL3A1', 'MYL9', 'ACTG2', 'DES', 'C1QA', 'C1QB', 'CTSB', 'COL1A1', 'COL1A2', 'MYH11', 'CSRP1', 'MYLK', 'COL6A2', 'TPM2', 'VIM', 'TNC', 'FLNA', 'A2M', 'CALD1', 'SPARC', 'LYZ', 'MMP2', 'CNN1', 'PSAP', 'STAB1', 'C1S', 'TPM1']","['PIGR', 'LCN2', 'FCGBP', 'PI3', 'TSPAN1', 'MUC2', 'AGR2', 'KRT20', 'CA2', 'SLC26A3', 'CLCA1', 'CEACAM7', 'ZG16', 'TFF3', 'MS4A12', 'DUOX2', 'SPINK4', 'PLAC8', 'GUCA2A', 'ITLN1', 'CA1', 'CA4', 'CLCA4', 'HBA2', 'MT1G', 'OLFM4', 'MT1F', 'REG4', 'KLF4', 'MT2A']"
COL16A1,"['COL1A1', 'COL3A1', 'COL1A2', 'MMP2', 'LUM', 'SPARC', 'THBS2', 'COL5A1', 'COL6A3', 'SFRP4', 'AEBP1', 'TIMP3', 'DCN', 'VCAN', 'COL6A2', 'CTHRC1', 'COMP', 'COL11A1', 'ELN', 'COL12A1', 'FBLN1', 'C1S', 'TIMP2', 'COL5A2', 'IGFBP3', 'C3', 'VIM', 'ADAM12', 'FBN1', 'CCN2']","['FABP1', 'PIGR', 'PI3', 'FCGBP', 'CKB', 'AGR2', 'TSPAN1', 'MUC2', 'OLFM4', 'CLCA1', 'CEACAM7', 'SLC26A3', 'CA2', 'KRT20', 'SPINK4', 'SOD2', 'DUOX2', 'MS4A12', 'TFF3', 'PCP4', 'ZG16', 'PLAC8', 'S100A9', 'DMBT1', 'SORBS2', 'CXCL8', 'APOBR', 'MMP12', 'MT1G', 'ITLN1']"
SYNC,"['TAGLN', 'DES', 'MYL9', 'ACTG2', 'COL3A1', 'MYH11', 'TPM2', 'CALD1', 'COL1A1', 'COL1A2', 'CSRP1', 'TPM1', 'CNN1', 'MYLK', 'SPARC', 'SYNPO2', 'ACTA2', 'TNC', 'FLNA', 'GREM1', 'COL6A2', 'MMP2', 'LUM', 'TIMP2', 'PPP1R12B', 'AEBP1', 'C1S', 'COL5A1', 'THBS2', 'LGALS1']","['LCN2', 'PI3', 'AGR2', 'PIGR', 'MMP12', 'OLFM4', 'TSPAN1', 'F3', 'FCGBP', 'CEACAM7', 'SLC26A3', 'DUOX2', 'S100A9', 'KRT20', 'CXCL8', 'MUC2', 'MS4A12', 'JCHAIN', 'SOD2', 'LITAF', 'SPINK4', 'PLAC8', 'IL1B', 'SELENOP', 'PLAUR', 'DMBT1', 'ZFP36', 'TFF3', 'APOBR', 'CLCA4']"
COL8A2,"['COL1A1', 'COL3A1', 'COL1A2', 'SPARC', 'THBS2', 'LUM', 'AEBP1', 'MMP2', 'SFRP4', 'TIMP3', 'COL5A1', 'IGFBP3', 'COMP', 'COL6A3', 'COL11A1', 'DCN', 'ELN', 'CTHRC1', 'TIMP2', 'COL12A1', 'VCAN', 'FN1', 'ADAM12', 'COL6A2', 'VIM', 'SULF1', 'FBLN1', 'FBN1', 'C1S', 'COL5A2']","['FABP1', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'CKB', 'TSPAN1', 'MUC2', 'OLFM4', 'CLCA1', 'SPINK4', 'CEACAM7', 'KRT20', 'CA2', 'KLF4', 'JCHAIN', 'SOD2', 'SLC26A3', 'TFF3', 'DUOX2', 'PCP4', 'ZG16', 'PLAC8', 'ITLN1', 'MS4A12', 'DMBT1', 'REG4', 'PGM5', 'SORBS2', 'MT1F']"
MAP7D1,"['COL3A1', 'TAGLN', 'VIM', 'COL1A1', 'COL6A2', 'COL1A2', 'MYL9', 'SPARC', 'LGALS1', 'CALD1', 'COL4A1', 'ACTG2', 'IGFBP7', 'COL5A1', 'MYH11', 'MYLK', 'CSRP1', 'FLNA', 'COL6A3', 'DES', 'ACTA2', 'TPM1', 'TPM2', 'COL4A2', 'A2M', 'MMP2', 'LUM', 'C1S', 'COL6A1', 'TIMP2']","['FABP1', 'LCN2', 'FCGBP', 'AGR2', 'OLFM4', 'CLCA1', 'MUC2', 'SPINK4', 'TFF3', 'PI3', 'TSPAN1', 'ZG16', 'ITLN1', 'REG4', 'CA2', 'DMBT1', 'DUOX2', 'CEACAM7', 'PLA2G2A', 'MS4A12', 'MT1X', 'CA1', 'SLC26A3', 'REG1A', 'MT1G', 'KRT20', 'C2orf88', 'MEP1A', 'HBA2', 'MT1F']"
EVA1B,"['COL3A1', 'SPARC', 'COL1A1', 'VIM', 'COL1A2', 'IGFBP7', 'LGALS1', 'COL4A1', 'COL5A1', 'COL6A3', 'MMP2', 'COL6A2', 'LUM', 'COL4A2', 'COL5A2', 'ENG', 'A2M', 'FSTL1', 'RGS5', 'THY1', 'VCAN', 'DCN', 'TIMP1', 'TIMP2', 'TIMP3', 'COL6A1', 'CALD1', 'AEBP1', 'THBS2', 'ACTA2']","['FABP1', 'PIGR', 'FCGBP', 'AGR2', 'PI3', 'MUC2', 'TSPAN1', 'CLCA1', 'OLFM4', 'CKB', 'PLA2G2A', 'CEACAM7', 'TFF3', 'SPINK4', 'KRT20', 'SLC26A3', 'MS4A12', 'PCP4', 'ZG16', 'ITLN1', 'CA2', 'MT1G', 'REG4', 'DMBT1', 'MT1X', 'PLAC8', 'SORBS2', 'DUOX2', 'DES', 'GUCA2A']"
CSF3R,"['S100A9', 'S100A8', 'CXCL8', 'SRGN', 'G0S2', 'IL1B', 'OSM', 'BCL2A1', 'AQP9', 'PLEK', 'IL1RN', 'NAMPT', 'SELL', 'PTGS2', 'MNDA', 'DUSP1', 'FPR1', 'FCGR3B', 'SPI1', 'SOD2', 'RGS2', 'TREM1', 'HCAR3', 'TAGAP', 'FCAR', 'PLAUR', 'ITGAX', 'LYZ', 'LITAF', 'LCP2']","['PIGR', 'FCGBP', 'CLCA1', 'TPM1', 'DES', 'AGR2', 'MUC2', 'PCP4', 'SFRP4', 'CKB', 'TSPAN1', 'PPP1R12B', 'MYL9', 'NBL1', 'MYH11', 'THBS2', 'CEACAM7', 'TAGLN', 'ELN', 'CSRP1', 'SORBS1', 'NFIX', 'COMP', 'PLA2G2A', 'SPINK4', 'ZG16', 'COL11A1', 'SLC26A3', 'GREM1', 'TPM2']"
RSPO1,"['OTP', 'GREM1', 'MMP2', 'MGP', 'LUM', 'PTGDS', 'SERPINF1', 'SFRP2', 'TCTE1', 'PRIMA1', 'A2M', 'PNLIP', 'TAGLN', 'COL6A3', 'PODN', 'AEBP1', 'SETBP1', 'C1S', 'CCDC80', 'C1R', 'MAPK10', 'IGKC', 'TMOD2', 'CXCL12', 'TSHZ3', 'FHL1', 'SFRP1', 'ATP8B2', 'COL3A1', 'CHRDL2']","['LCN2', 'PI3', 'TSPAN1', 'PIGR', 'ATL3', 'PIM1', 'FCGBP', 'CXCL14', 'MMP12', 'TYROBP', 'RASSF3', 'PRMT2', 'TFF3', 'NAMPT', 'CD14', 'AFAP1', 'LMO4', 'MS4A12', 'SUSD6', 'PPP1R12C', 'PARD3B', 'MMP11', 'DUSP22', 'LITAF', 'DMBT1', 'BTG1', 'CHSY1', 'OLFML2B', 'SLC25A37', 'CEACAM7']"
FHL3,"['COL3A1', 'COL1A1', 'SPARC', 'COL1A2', 'VIM', 'TAGLN', 'COL5A1', 'COL6A2', 'COL6A3', 'IGFBP7', 'MMP2', 'LGALS1', 'LUM', 'TIMP3', 'CALD1', 'COL4A1', 'ACTA2', 'AEBP1', 'MYL9', 'THBS2', 'FN1', 'COL12A1', 'VCAN', 'TNC', 'THBS1', 'TIMP2', 'COL4A2', 'THY1', 'COL5A2', 'C1S']","['FCGBP', 'LCN2', 'FABP1', 'MUC2', 'CLCA1', 'AGR2', 'TSPAN1', 'OLFM4', 'PI3', 'SPINK4', 'CA2', 'SLC26A3', 'CEACAM7', 'PLA2G2A', 'TFF3', 'DUOX2', 'ZG16', 'JCHAIN', 'KRT20', 'ITLN1', 'REG4', 'DMBT1', 'PLAC8', 'KLF4', 'IGKC', 'MS4A12', 'PADI2', 'MT1G', 'SELENOP', 'CA4']"
MACF1,"['TAGLN', 'MYL9', 'ACTG2', 'DES', 'VIM', 'CSRP1', 'MYH11', 'COL4A1', 'MYLK', 'COL3A1', 'CALD1', 'COL6A2', 'ACTA2', 'IGFBP7', 'FLNA', 'A2M', 'TPM2', 'TPM1', 'COL4A2', 'TNC', 'LGALS1', 'SPARC', 'COL1A1', 'SYNPO2', 'SPARCL1', 'ITGA5', 'COL1A2', 'COL6A1', 'MCAM', 'CNN1']","['FABP1', 'FCGBP', 'LCN2', 'CLCA1', 'AGR2', 'OLFM4', 'MUC2', 'TSPAN1', 'PI3', 'SPINK4', 'TFF3', 'CA2', 'KRT20', 'ZG16', 'SLC26A3', 'ITLN1', 'PLA2G2A', 'CEACAM7', 'DMBT1', 'MT1G', 'MS4A12', 'REG4', 'DUOX2', 'KLF4', 'PLAC8', 'MT1X', 'CA1', 'CA4', 'CLCA4', 'MT1F']"
